condition,symptom_list,symptom_text,question,body_system,severity,keywords,synonyms,icd10_codes,embedding_text
Acromegaly,"abnormal growth of hands and feet, swelling of hands and feet, joint pain, coarsening of facial features, fatigue, macroglossia, sleep apnea","Acromegaly commonly presents with abnormal growth of the hands and feet, swelling, joint pain, coarsening of facial features, macroglossia, sleep apnea, and fatigue.","What are the symptoms of Acromegaly?",Endocrine,Moderate,"acromegaly growth hormone pituitary enlargement extremities gigantism","somatotroph adenoma, GH excess",E22.0,"Condition: Acromegaly
Body System: Endocrine
Severity: Moderate
Symptoms: abnormal growth of hands and feet, swelling, joint pain, coarsening of facial features, fatigue, macroglossia, sleep apnea
Keywords: acromegaly, pituitary, growth hormone, enlargement, extremities"
Addison Disease,"chronic fatigue, muscle weakness, loss of appetite, weight loss, hyperpigmentation, low blood pressure, salt craving, nausea, vomiting, abdominal pain","Addison disease (primary adrenal insufficiency) presents with chronic fatigue, muscle weakness, loss of appetite, weight loss, hyperpigmentation, hypotension, salt craving, nausea, vomiting, and abdominal pain.","What are the symptoms of Addison Disease?",Endocrine,Severe,"adrenal insufficiency addison's disease cortisol deficiency fatigue hyperpigmentation crisis","primary adrenal insufficiency, hypocortisolism, adrenal cortex failure",E27.1,"Condition: Addison Disease
Body System: Endocrine
Severity: Severe
Symptoms: chronic fatigue, muscle weakness, weight loss, hyperpigmentation, hypotension, salt craving, nausea, vomiting
Keywords: adrenal insufficiency, cortisol deficiency, addisonian crisis"
Cushing's Syndrome,"upper body obesity, rounded face, increased fat around neck, slender arms and legs, hypertension, easy bruising, striae, muscle weakness, osteoporosis, hirsutism, glucose intolerance","Cushing's syndrome typically presents with central obesity, moon face, buffalo hump, thin extremities, hypertension, easy bruising, purple striae, muscle weakness, osteoporosis, hirsutism, and glucose intolerance.","What are the symptoms of Cushing's Syndrome?",Endocrine,Moderate,"cushing's syndrome hypercortisolism obesity moon face striae buffalo hump","hypercortisolism, corticosteroid excess, pituitary adenoma Cushing",E24.9,"Condition: Cushing's Syndrome
Body System: Endocrine
Severity: Moderate
Symptoms: central obesity, moon face, buffalo hump, thin limbs, hypertension, easy bruising, striae, muscle weakness, osteoporosis
Keywords: hypercortisolism, glucocorticoid excess, pituitary adenoma"
Graves' Disease,"nervousness, irritability, fatigue, muscle weakness, heat intolerance, insomnia, tremors, weight loss, palpitations, increased sweating, exophthalmos, goiter, frequent bowel movements","Graves' disease commonly causes nervousness, irritability, fatigue, muscle weakness, heat intolerance, insomnia, tremors, weight loss, palpitations, increased sweating, exophthalmos, goiter, and frequent bowel movements.","What are the symptoms of Graves' Disease?",Endocrine,Moderate,"graves disease hyperthyroidism autoimmune thyroid ophthalmopathy exophthalmos","Basedow disease, autoimmune thyroiditis, toxic diffuse goiter",E05.00,"Condition: Graves' Disease
Body System: Endocrine
Severity: Moderate
Symptoms: nervousness, irritability, fatigue, heat intolerance, insomnia, tremors, weight loss, palpitations, exophthalmos, goiter
Keywords: autoimmune hyperthyroidism, TSH receptor antibodies, ophthalmopathy"
Hashimoto's Disease,"fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, depression, goiter, bradycardia, heavy menses","Hashimoto's disease often begins asymptomatically, later causing goiter and hypothyroid symptoms such as fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, depression, bradycardia, and heavy menses.","What are the symptoms of Hashimoto's Disease?",Endocrine,Moderate,"hashimoto's thyroiditis autoimmune hypothyroidism goiter antibodies","chronic lymphocytic thyroiditis, autoimmune thyroiditis",E06.3,"Condition: Hashimoto's Thyroiditis
Body System: Endocrine
Severity: Moderate
Symptoms: fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, depression, goiter, bradycardia
Keywords: autoimmune thyroiditis, hypothyroidism, anti‑TPO, anti‑thyroglobulin"
Hyperthyroidism,"nervousness, irritability, fatigue, muscle weakness, heat intolerance, insomnia, tremors, weight loss, palpitations, increased sweating, tachycardia, frequent bowel movements, goiter","Hyperthyroidism commonly presents with nervousness, irritability, fatigue, muscle weakness, heat intolerance, insomnia, tremors, weight loss, palpitations, increased sweating, tachycardia, frequent stools, and goiter.","What are the symptoms of Hyperthyroidism?",Endocrine,Moderate,"thyroid overactive thyroid hyperthyroidism metabolism heat intolerance tachycardia","thyrotoxicosis, toxic thyroid, thyroid hormone excess",E05.90,"Condition: Hyperthyroidism
Body System: Endocrine
Severity: Moderate
Symptoms: nervousness, irritability, fatigue, heat intolerance, insomnia, tremors, weight loss, palpitations, tachycardia, goiter
Keywords: thyrotoxicosis, overactive thyroid, TSH suppression"
Hypothyroidism,"fatigue, weight gain, puffy face, cold intolerance, dry skin, joint pain, constipation, depression, bradycardia, memory impairment, heavy menses","Hypothyroidism commonly presents with fatigue, weight gain, facial puffiness, cold intolerance, dry skin, joint pain, constipation, depression, bradycardia, memory impairment, and heavy menses.","What are the symptoms of Hypothyroidism?",Endocrine,Moderate,"thyroid hypothyroidism fatigue weight gain slow metabolism myxedema","myxedema, underactive thyroid, thyroid hormone deficiency",E03.9,"Condition: Hypothyroidism
Body System: Endocrine
Severity: Moderate
Symptoms: fatigue, weight gain, facial puffiness, cold intolerance, dry skin, constipation, depression, bradycardia
Keywords: underactive thyroid, myxedema, elevated TSH"
Iatrogenic CJD (Pituitary hGH),"difficulty walking, balance problems, dizziness, clumsiness, cognitive decline, myoclonus, vision changes, coordination loss, psychiatric symptoms","Iatrogenic CJD from pituitary hGH initially manifests with difficulty walking, balance issues, dizziness, clumsiness, progressing to cognitive decline, myoclonus, vision changes, and psychiatric symptoms.","What are the symptoms of Iatrogenic CJD?",Neurology,Critical,"CJD prion disease iatrogenic pituitary growth hormone neurological","iatrogenic Creutzfeldt-Jakob disease, human growth hormone CJD, prion disease",A81.0,"Condition: Iatrogenic Creutzfeldt‑Jakob Disease
Body System: Neurology
Severity: Critical
Symptoms: difficulty walking, balance problems, dizziness, cognitive decline, myoclonus, vision changes
Keywords: prion disease, iatrogenic CJD, hGH, spongiform encephalopathy"
Primary Hyperparathyroidism,"muscle weakness, fatigue, excessive sleepiness, bone pain, kidney stones, depression, osteoporosis, polyuria, constipation","Primary hyperparathyroidism may be asymptomatic or cause muscle weakness, fatigue, excessive sleepiness, bone pain, kidney stones, depression, osteoporosis, polyuria, and constipation.","What are the symptoms of Primary Hyperparathyroidism?",Endocrine,Moderate,"hyperparathyroidism calcium parathyroid bone pain kidney stones hypercalcemia","primary parathyroid hyperplasia, parathyroid adenoma, hypercalcemia",E21.0,"Condition: Primary Hyperparathyroidism
Body System: Endocrine
Severity: Moderate
Symptoms: fatigue, muscle weakness, bone pain, kidney stones, depression, osteoporosis, polyuria, constipation
Keywords: hypercalcemia, PTH, parathyroid adenoma"
Prolactinoma,"infertility, menstrual irregularities, amenorrhea, galactorrhea, decreased libido, headache, visual disturbances, gynecomastia in men, erectile dysfunction","Prolactinoma commonly causes infertility, menstrual irregularities or amenorrhea, galactorrhea, decreased libido, headache, visual disturbances, gynecomastia in men, and erectile dysfunction.","What are the symptoms of Prolactinoma?",Endocrine,Moderate,"prolactinoma pituitary adenoma hyperprolactinemia galactorrhea","prolactin‑secreting adenoma, lactotroph adenoma",D35.2,"Condition: Prolactinoma
Body System: Endocrine
Severity: Moderate
Symptoms: infertility, amenorrhea, galactorrhea, decreased libido, headache, visual disturbances
Keywords: pituitary adenoma, hyperprolactinemia, prolactin"
